,RIFUSDT,KASUSDT,Spread,Z-Score
178,0.1291,0.04289,0.009008000000000002,0.2780844213788271
179,0.1287,0.04249,0.009728000000000014,0.393176759868098
180,0.1268,0.04185,0.009620000000000004,0.3656186865849103
181,0.1268,0.0422,0.008639999999999995,0.19099509316390084
182,0.1255,0.04325,0.004400000000000015,-0.5221384831721427
183,0.1283,0.04273,0.008656000000000011,0.16372979291792503
184,0.1293,0.04257,0.010104000000000016,0.3876118083621456
185,0.1279,0.04188,0.01063600000000002,0.454140042122881
186,0.1288,0.04157,0.012403999999999998,0.7480213931169294
187,0.1284,0.04296,0.008111999999999994,-0.08280008417701375
188,0.1269,0.04218,0.008796000000000012,0.02748027064579824
189,0.128,0.04218,0.009896000000000002,0.2078795935366054
190,0.1267,0.0426,0.007420000000000024,-0.35580347742413754
191,0.1284,0.04224,0.010127999999999998,0.19614768030656932
192,0.131,0.04424,0.007128000000000009,-0.5913039625930229
193,0.1317,0.0444,0.0073800000000000116,-0.5141315395834819
194,0.1299,0.04445,0.0054399999999999865,-0.9711531512859267
195,0.1273,0.04475,0.0020000000000000018,-1.7624308823223893
196,0.1293,0.04583,0.0009760000000000046,-1.9229257518065488
197,0.1293,0.04546,0.0020120000000000138,-1.607399449588023
198,0.127,0.04433,0.0028760000000000036,-1.3556883748755848
199,0.1293,0.04422,0.005484000000000003,-0.6974128422349739
200,0.129,0.04551,0.0015720000000000178,-1.5903573995281164
201,0.1312,0.04506,0.005032000000000009,-0.7261148282529163
202,0.1303,0.04604,0.0013880000000000003,-1.554005939267033
203,0.1293,0.04656,-0.0010679999999999856,-2.0332522314156014
204,0.1316,0.04678,0.0006160000000000054,-1.5780270250433697
