Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
POWRUSDT,RENUSDT,0.0,-4.49,-3.34,0.4,1
POWRUSDT,LQTYUSDT,0.0,-4.17,-3.34,0.16,1
POWRUSDT,ICXUSDT,0.01,-4.0,-3.34,0.57,1
POWRUSDT,CEEKUSDT,0.0,-4.4,-3.34,1.56,1
PERPUSDT,BNXUSDT,0.0,-6.25,-3.34,0.02,1
PERPUSDT,AXSUSDT,0.01,-3.93,-3.34,0.01,1
PENDLEUSDT,CVXUSDT,0.04,-3.44,-3.34,0.04,1
10000STARLUSDT,BNXUSDT,0.0,-5.07,-3.34,0.0,1
TRXUSDT,BNXUSDT,0.04,-3.39,-3.34,0.0,1
TRXUSDT,GFTUSDT,0.02,-3.72,-3.34,1.41,1
WAXPUSDT,LINAUSDT,0.02,-3.72,-3.34,4.03,1
WAVESUSDT,CVCUSDT,0.01,-3.8,-3.34,48.28,1
WAXPUSDT,DODOUSDT,0.02,-3.67,-3.34,0.27,1
WAXPUSDT,CVXUSDT,0.01,-3.88,-3.34,0.0,1
WAXPUSDT,BALUSDT,0.05,-3.37,-3.34,0.01,1
WAXPUSDT,APTUSDT,0.0,-4.11,-3.34,0.01,1
WAXPUSDT,1000XECUSDT,0.01,-3.88,-3.34,0.96,1
WAVESUSDT,MAVUSDT,0.01,-4.04,-3.34,49.6,1
WAVESUSDT,LPTUSDT,0.02,-3.68,-3.34,0.39,1
WAVESUSDT,KLAYUSDT,0.01,-3.8,-3.34,12.83,1
WAVESUSDT,IOSTUSDT,0.01,-4.03,-3.34,343.5,1
WAVESUSDT,HOOKUSDT,0.0,-4.71,-3.34,7.46,1
WAVESUSDT,HFTUSDT,0.01,-3.89,-3.34,26.8,1
WAVESUSDT,DASHUSDT,0.0,-4.83,-3.34,0.08,1
WAVESUSDT,COMPUSDT,0.0,-5.13,-3.34,0.04,1
TRXUSDT,LOOKSUSDT,0.03,-3.59,-3.34,0.03,1
WAVESUSDT,CEEKUSDT,0.01,-3.89,-3.34,76.31,1
WAVESUSDT,C98USDT,0.0,-4.48,-3.34,5.04,1
WAVESUSDT,BSVUSDT,0.01,-3.82,-3.34,0.15,1
WAVESUSDT,AUDIOUSDT,0.01,-3.9,-3.34,9.56,1
USDCUSDT,LQTYUSDT,0.01,-3.91,-3.34,0.5,1
USDCUSDT,ICXUSDT,0.0,-4.22,-3.34,1.86,1
USDCUSDT,FLOWUSDT,0.0,-4.66,-3.34,0.09,1
USDCUSDT,CVXUSDT,0.01,-3.77,-3.34,0.06,1
USDCUSDT,AXSUSDT,0.02,-3.71,-3.34,0.01,1
USDCUSDT,ARPAUSDT,0.02,-3.68,-3.34,21.3,1
USDCUSDT,APTUSDT,0.01,-3.93,-3.34,0.17,1
USDCUSDT,1000XECUSDT,0.0,-4.11,-3.34,15.87,1
ZRXUSDT,RIFUSDT,0.01,-3.82,-3.34,4.42,1
